model_a,model_b,outcome
gpt-ish,claude-ish,a
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,b
gpt-ish,claude-ish,tie
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,a
gpt-ish,claude-ish,b
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,b
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
